ID_SONDE;ID_DOSSIER;ALTITUDE_MIN;ALTITUDE_MAX;DIMENSION;FLUIDE;ETAT;DETERMINATION_PLANIMETRIQUE;REMARQUES;E;N
;DD 100732;;427.3;Diamètre 32mm Profondeur 150m;Glycol / Alcoll 30 %;En service;Imprécis;Selon plan du foreur;2503515.25;1117721.31
;DD 101260;;424.5;Diamètre 32mm Profondeur 100m;Glycol / Alcoll 30 %;En service;Imprécis;Selon plan foreur;2503471.65;1117264.03
;DD 101260;;424.5;Diamètre 32mm Profondeur 100m;Glycol / Alcoll 30 %;En service;Imprécis;Selon plan foreur;2503466.93;1117260.33
;DD 101260;;424.5;Diamètre 32mm Profondeur 100m;Glycol / Alcoll 30 %;En service;Imprécis;Selon plan foreur;2503462.21;1117256.63
;DD 101260;;424.5;Diamètre 32mm Profondeur 100m;Glycol / Alcoll 30 %;En service;Imprécis;Selon plan foreur;2503457.49;1117252.92
;APA 29101;;413.3;Diamètre 4 x 32mm Profondeur 130m;Inconnu;En service;Imprécis;Selon plan d'implatation;2501073.85;1124713.39
;DD 101350;;418.0;Diamètre 4x40mm Profondeur 200m;Inconnu;En service;Imprécis;Selon plan d'implatation;2504086.47;1116356.73
;DD 101350;;418.0;Diamètre 4x40mm Profondeur 200m;Inconnu;En service;Imprécis;Selon plan d'implatation;2504082.10;1116352.62
;DD 101350;;418.0;Diamètre 4x40mm Profondeur 200m;Inconnu;En service;Imprécis;Selon plan d'implatation;2504077.73;1116348.52
;DD 101437;;416.5;Diamètre 4x32mm Profondeur 160m;Inconnu;En service;Imprécis;Selon fax de l'architecte;2496792.65;1117342.65
;DD 101438;;384.5;Diamètre 4x32mm Profondeur 80m;Glycol / Alcoll 30 %;En service;Imprécis;Selon plan d'implatation;2504092.88;1122276.84
;DD 101438;;384.5;Diamètre 4x32mm Profondeur 80m;Glycol / Alcoll 30 %;En service;Imprécis;Selon plan d'implatation;2504094.66;1122283.24
;APA 29526;0.0;452.0;Diamètre 32mm Profondeur 150m;Inconnu;En service;Imprécis;Selon plan scanné;2504639.28;1121128.86
;APA 29526;0.0;452.0;Diamètre 32mm Profondeur 150m;Inconnu;En service;Imprécis;Selon plan scanné;2504638.33;1121139.71
;DD 99774;0.0;404.0;Profondeur 95m;Inconnu;En service;Imprécis;Selon plan d'implatation;2503983.75;1115937.32
;DD 99774;0.0;404.0;Profondeur 95m;Inconnu;En service;Imprécis;Selon plan d'implatation;2503990.62;1115933.23
;APA 27141;;396.0;Profondeur 180m;Inconnu;En service;Inconnu;Selon plan d'implantation;2497778.48;1114829.03
;DD 100189;;399.90000000000003;Diamètre 4x40mm Profondeur 135m;Inconnu;En service;Précis;;2500002.04;1122726.22
;DD 100189;;399.1;Diamètre 4x40mm Profondeur 135m;Inconnu;En service;Précis;;2500015.02;1122719.89
;DD 100189;;398.2;Diamètre 4x40mm Profondeur 135m;Inconnu;En service;Précis;;2500026.34;1122723.98
;DD 100189;;397.40000000000003;Diamètre 4x40mm Profondeur 135m;Inconnu;En service;Précis;;2500033.87;1122726.97
;DD 100189;;396.40000000000003;Diamètre 4x40mm Profondeur 135m;Inconnu;En service;Précis;;2500012.76;1122742.39
;DD 100189;;395.5;Diamètre 4x40mm Profondeur 135m;Inconnu;En service;Précis;;2500040.74;1122742.87
;APA 31024;207.0;421.0;Diamètre 4x40mm Profondeur 214m;Inconnu;En service;Précis;;2500131.30;1123945.64
;APA 31024;207.0;421.0;Diamètre 4x40mm Profondeur 214m;Inconnu;En service;Précis;;2500131.66;1123954.00
;DD 100088;0.0;0.0;diamètre 32mm profondeur 250m;Autre;En service;Précis;;2504185.50;1121499.78
;DD 100088;0.0;0.0;diamètre 32mm profondeur 249m;Autre;En service;Précis;;2504188.22;1121504.78
;DD 100088;0.0;0.0;diamètre 32mm profondeur 249m;Autre;En service;Précis;;2504181.68;1121508.33
;DD 100088;0.0;0.0;diamètre 32mm profondeur 250m;Autre;En service;Précis;;2504184.40;1121513.33
;DD 100088;0.0;0.0;diamètre 32mm profondeur 249m;Autre;En service;Précis;;2504190.94;1121509.77
;DD 100088;0.0;0.0;diamètre 32mm profondeur 249m;Autre;En service;Précis;;2504193.65;1121514.79
;DD 100088;0.0;0.0;diamètre 32mm profondeur 250m;Autre;En service;Précis;;2504187.13;1121518.32
;DD 100088;0.0;0.0;diamètre 32mm profondeur 250m;Autre;En service;Précis;;2504192.56;1121528.33
;DD 100088;0.0;0.0;diamètre 32mm profondeur 250m;Autre;En service;Précis;;2504199.10;1121524.79
;DD 100088;0.0;0.0;diamètre 32mm profondeur 249m;Autre;En service;Précis;;2504196.37;1121519.76
;DD 100088;0.0;0.0;diamètre 32mm profondeur 249m;Autre;En service;Précis;;2504205.62;1121521.24
;DD 100088;0.0;0.0;diamètre 32mm profondeur 250m;Autre;En service;Précis;;2504202.91;1121516.24
;DD 100088;0.0;0.0;diamètre 32mm profondeur 249m;Autre;En service;Précis;;2504200.19;1121511.23
;DD 100088;0.0;0.0;diamètre 32mm profondeur 249m;Autre;En service;Précis;;2504197.46;1121506.24
;DD 100088;0.0;0.0;diamètre 32mm profondeur 249m;Autre;En service;Précis;;2504209.43;1121512.69
;DD 100088;0.0;0.0;diamètre 32mm profondeur 249m;Autre;En service;Précis;;2504205.36;1121505.18
;DD 100088;0.0;0.0;diamètre 32mm profondeur 250m;Autre;En service;Précis;;2504194.74;1121501.22
;DD 100088;0.0;0.0;diamètre 32mm profondeur 250m;Autre;En service;Précis;;2504192.02;1121496.23
;DD 100088;0.0;0.0;diamètre 32mm profondeur 248m;Autre;En service;Précis;;2504201.26;1121497.68
;DD 100088;0.0;0.0;diamètre 32mm profondeur 249m;Autre;En service;Précis;;2504198.54;1121492.69
;DD 100088;0.0;0.0;diamètre 32mm profondeur 248m;Autre;En service;Précis;;2504189.30;1121491.23
;DD 100088;0.0;0.0;diamètre 32mm profondeur 250m;Autre;En service;Précis;;2504186.57;1121486.22
;DD 100088;0.0;0.0;diamètre 32mm profondeur 249m;Autre;En service;Précis;;2504195.83;1121487.67
;DD 100088;0.0;0.0;diamètre 32mm profondeur 299m;Autre;En service;Précis;;2504193.11;1121482.66
;DD 100088;0.0;0.0;diamètre 32mm profondeur 250m;Autre;En service;Précis;;2504216.30;1121509.81
;DD 100088;0.0;0.0;diamètre 32mm profondeur 249m;Autre;En service;Précis;;2504216.37;1121504.07
;DD 100088;0.0;0.0;diamètre 32mm profondeur 249m;Autre;En service;Précis;;2504222.02;1121500.98
;DD 100088;0.0;0.0;diamètre 32mm profondeur 250m;Autre;En service;Précis;;2504226.72;1121492.98
;DD 100088;0.0;0.0;diamètre 32mm profondeur 249m;Autre;En service;Précis;;2504224.12;1121488.21
;DD 100088;0.0;0.0;diamètre 32mm profondeur 249m;Autre;En service;Précis;;2504220.64;1121483.91
;DD 100088;0.0;0.0;diamètre 32mm profondeur 249m;Autre;En service;Précis;;2504215.42;1121486.75
;DD 100088;0.0;0.0;diamètre 32mm profondeur 210m;Autre;En service;Précis;;2504210.20;1121489.56
;DD 100088;0.0;0.0;diamètre 32mm profondeur 299m;Autre;En service;Précis;;2504204.97;1121492.43
;DD 100088;0.0;0.0;diamètre 32mm profondeur 299m;Autre;En service;Précis;;2504200.90;1121484.91
;DD 100088;0.0;0.0;diamètre 32mm profondeur 299m;Autre;En service;Précis;;2504206.10;1121482.07
;DD 100088;0.0;0.0;diamètre 32mm profondeur 299m;Autre;En service;Précis;;2504211.34;1121479.24
;DD 100088;0.0;0.0;diamètre 32mm profondeur 299m;Autre;En service;Précis;;2504216.55;1121476.39
;DD 100088;0.0;0.0;diamètre 32mm profondeur 258m;Autre;En service;Précis;;2504221.77;1121473.55
;DD 100088;0.0;0.0;diamètre 32mm profondeur 299m;Autre;En service;Précis;;2504223.24;1121467.54
;DD 100088;0.0;0.0;diamètre 32mm profondeur 292m;Autre;En service;Précis;;2504217.69;1121466.02
;DD 100088;0.0;0.0;diamètre 32mm profondeur 156m;Autre;En service;Précis;;2504212.47;1121468.86
;DD 100088;0.0;0.0;diamètre 32mm profondeur 124m;Autre;En service;Précis;;2504207.25;1121471.71
;DD 100088;0.0;0.0;diamètre 32mm profondeur 296m;Autre;En service;Précis;;2504202.03;1121474.56
;DD 100088;0.0;0.0;diamètre 32mm profondeur 290m;Autre;En service;Précis;;2504196.79;1121477.39
;DD 99795;251.0;402.0;Diamètre 4x32mm Profondeur 150m;Inconnu;En service;Précis;;2497257.14;1114400.62
;DD 99795;251.0;402.0;Diamètre 4x32mm Profondeur 150m;Inconnu;En service;Précis;;2497251.66;1114409.00
;DD 99795;251.0;402.0;Diamètre 4x32mm Profondeur 150m;Inconnu;En service;Précis;;2497260.04;1114414.47
;DD 99795;251.0;402.0;Diamètre 4x32mm Profondeur 150m;Inconnu;En service;Précis;;2497268.42;1114419.95
;DD 99795;251.0;402.0;Diamètre 4x32mm Profondeur 150m;Inconnu;En service;Précis;;2497276.79;1114425.42
